station_name,latitude,longitude,source_type,kgis_code,station_code,department_code,raw_file
Karatagi PS,15.6005919997517,76.6579839996317,Karnataka Police Station,29560054666016810000HMPOLPUOFFPOS0001,PS - 33,164681172,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Gangavathi Town PS,15.4258829997704,76.5301870003278,Karnataka Police Station,29560054668030720000HMPOLPUOFFPOS0002,PS - 34,164681168,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Hanumasagar PS,15.8727720001468,76.0476199999866,Karnataka Police Station,29560054656014350000HMPOLPUOFFPOS0001,PS - 35,164681177,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Kushtagi PS,15.7548799996807,76.1935009996338,Karnataka Police Station,29560054658030710000HMPOLPUOFFPOS0001,PS - 36,164681176,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Tavaregera PS,15.7700490003593,76.4043049999318,Karnataka Police Station,29560054656015320000HMPOLPUOFFPOS0001,PS - 37,164681178,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Alwandi PS,15.2316289997451,75.990564999943,Karnataka Police Station,29560054676017400000HMPOLPUOFFPOS0001,PS - 39,164681160,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Koppal Rural PS,15.348638999923,76.1504849998026,Karnataka Police Station,29560054678030730000HMPOLPUOFFPOS0002,PS - 40,164681159,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Munirabad PS,15.2795749997392,76.3218519999859,Karnataka Police Station,29560054676018600000HMPOLPUOFFPOS0001,PS - 41,164681162,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Koppal Town PS,15.3488340004166,76.1507120001416,Karnataka Police Station,29560054678030730000HMPOLPUOFFPOS0003,PS - 42,164681158,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Kuknoor PS,15.4926200001522,75.9915140000343,Karnataka Police Station,29560054646013480000HMPOLPUOFFPOS0001,PS - 43,164681164,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Yelburga PS,15.613321000093,76.0122100001865,Karnataka Police Station,29560054648030700000HMPOLPUOFFPOS0001,PS - 44,164681163,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Devadurga PS,16.4150025003166,76.9287049998064,Karnataka Police Station,29559054606006100000HMPOLPUOFFPOS0001,PS - 45,164610992,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Gabbur PS,16.2960855001534,77.1609118001156,Karnataka Police Station,29559054606006700000HMPOLPUOFFPOS0001,PS - 46,164610994,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Jalhalli PS,16.3651088137999,76.7834533840468,Karnataka Police Station,29559054606005490000HMPOLPUOFFPOS0001,PS - 47,164610993,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Hutti PS,16.1945603996517,76.6555622002157,Karnataka Police Station,29559054598030650000HMPOLPUOFFPOS0001,PS - 48,164610988,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Lingasugur PS,16.1583934999438,76.5224648999924,Karnataka Police Station,29559054598030640000HMPOLPUOFFPOS0001,PS - 49,164610985,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Maski PS,15.9537920995979,76.6540675001917,Karnataka Police Station,29559054596005200000HMPOLPUOFFPOS0001,PS - 50,164610989,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Mudgal PS,16.0122467995676,76.4419758997177,Karnataka Police Station,29559054596003670000HMPOLPUOFFPOS0001,PS - 51,164610990,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Netajinagar PS,16.2005672001816,77.3697941996058,Karnataka Police Station,29559054618030670000HMPOLPUOFFPOS0001,PS - 52,164610962,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Sadar Bazar PS,16.2026200999877,77.356027800299,Karnataka Police Station,29559054618030670000HMPOLPUOFFPOS0002,PS - 53,164610961,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Raichur Women PS,16.2026200999877,77.356027800299,Karnataka Police Station,29559054618030670000HMPOLPUOFFPOS0003,PS - 54,164612124,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Raichur Rural PS,16.219874700226,77.3552738002094,Karnataka Police Station,29559054618030670000HMPOLPUOFFPOS0004,PS - 55,164610963,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Shakti Nagar PS,16.370844899622,77.3533134002243,Karnataka Police Station,29559054616008840000HMPOLPUOFFPOS0001,PS - 56,164610965,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Yapaladinni PS,16.2962598997579,77.5251081003069,Karnataka Police Station,29559054616007630000HMPOLPUOFFPOS0001,PS - 57,164610966,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Market Yard PS,16.2161506997865,77.3606764001082,Karnataka Police Station,29559054618030670000HMPOLPUOFFPOS0005,PS - 58,164610972,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Raichur West PS,16.1951229000377,77.3428321998381,Karnataka Police Station,29559054618030670000HMPOLPUOFFPOS0006,PS - 59,164610971,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Idapanur PS,16.0042257997102,77.4621637999182,Karnataka Police Station,29559054616008800000HMPOLPUOFFPOS0001,PS - 60,164610970,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Yeregera PS,16.073025500058,77.4142756004306,Karnataka Police Station,29559054616008430000HMPOLPUOFFPOS0001,PS - 61,164610967,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Kowthal PS,16.0872856002399,76.8144297999196,Karnataka Police Station,29559054626009410000HMPOLPUOFFPOS0001,PS - 62,164610984,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Manvi PS,15.9938995995581,77.0479908002105,Karnataka Police Station,29559054626010180000HMPOLPUOFFPOS0001,PS - 63,164610981,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Sirwar PS,16.175903599613,77.0159706997364,Karnataka Police Station,29559054626009670000HMPOLPUOFFPOS0001,PS - 64,164610983,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Balagaor PS,15.9553054000286,76.749950399616,Karnataka Police Station,29559054636011350000HMPOLPUOFFPOS0001,PS - 65,164610980,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
